Church	Commensement	Constitution	Building
Acacia Ridge	1964	1966	1966
Agnes Water	1991	
Agnes Waters/1770	1993	
Agnes Waters/1770	1994	
Albany Creek	1974	1981	
Albion Fire of Hope	1882	1892	1883
Algester	1993	
Allora	1945	1950	1950
Annerley	1865	1912	1958?
Annerley (Fairfield)	1865	1912	1865
Annerley*	1865	1892	1965
Ashgrove	1937	1940	1940
Atherton Tableland	1965	1966	1969
Ayr	1966	1968	1967
Banyo	1930	1949	1930
Bargara Coral Coast	1996	
Bayside	1953	1970	1977
Beaudesert	1895	1904	1897
Beaudesert	1945	1950	1950
Beenleigh	1967	1974	1979
Beerwah	1909	1958	1957
Belmont	1951	1957	1954
Bethel Romanian	2002	
Biloela (Thangool)	1932	1958	1955
Blenheim (Laidley)	1882	1895	1907
Boonah	1887	1888	1965
Bowen	1978	1980	1980
Boyne-Tannum	2000	
Bracken Ridge	1980	1983	
Brassall (Warrego District)	1977	1972
Bribie Island	1980	1982	
Bridgeman Downs	1994	
Bridgeman Downs	1992	
Brighton	1950	1955	1950
Brinsmead Cairns	2001	2000	
Brisbane Slavic	
Brisbane Valley - Esk	1900	1956	1955
Brisbane Valley - Toogoolawah	1900	1956	1956
Broadbeach	1982	1958
Broadwater	1985	
Broadwater	1997	
Browns Plains	1990	1993	
Bulimba	1862	1940	1886
Bundaberg	1941	1945	1977
Bunyaville	1931	1956	1931
Burdekin	1986	
Burpengary	1977	1982	1986
Caboolture	1967	1968	1970
Caboolture East 	1994	1992	
Cairns	1933	1936	1980
Cairns - Anderson Street	1933	1936	1943
Caloundra	1950	1955	1956
Cannon Hill	1956	1968	1964
Carey/Balmoral	1967	1967	1968
Carina	1962	1965	1962
Carindale	1993	
Centenary/Jireh	1974	1976	1983
Chancellor Park	1999	2003	
Charleville 	1991	1987	
Charters Towers	1885	1888	1889
Chinchilla	1958	1970	1958
Churchill	1923	1974	1920
City Tabernacle	1851	1855	1890
Clayfield	1869	1888	1891
Cleveland	1960	1974	1975
Clontarf Beach	1964	1969	1964
Coast Life - from Labrador	1999	
Cooktown	1987	
Coolangatta - Tweed Heads	1951	1952	1956
Coolum	1988	1997	
Cooroy	1950	1955	1954
Cooroy	2000	
Cooroy - Kenilworth	1950	1955	?
Cooroy - Noosaville	1950	1955	1958
Coorparoo	1910	1924	1910
Crown Street (Brisbane Slavic)	1932	1938	1952
Currajong	1950	1956	1952
Dalby	1951	1951	1954
Deagon	?	1918
Deagon	1987	
Deception Bay	1952	1965	1959
Dinmore	1885	1889	1885
Dinmore	1885	1889	1961
Douglas District	1990	
Dunellan Estate	1890	1920	?
Dysart	1987	
Edward Street	1864	1864?
Emerald	1992	
Emmanuel Warwick 	1992	1986	
Enoggera	1872	1900	1890
Fairfield	1939	1953	1940
Filipino	2000	
Flinders	1992	
Forest Lake	1994	
Fortescue Street	1865	1865	1865
Fraser Coast	
Gailes	1977	1977
Gatton	1935	1937	1937
Gayndah	1945	1949	1953
Geebung	1923	1952	1925
Geebung	1923	1952	1969
Gin Gin	1982	1982
Gladstone	1966	1967	1966
Glenden	1985	
Gold Coast Chr Family from Robina	2001	
Goodlife	1988	
Gordon Park	1926	1932	1965
Gracemere	1997	
Graceville	1926	1926	1926
Greenslopes	1890	1920	1933
Grovely	1953	1958	1957
Gympie	1887	1897	1899
Helensvale	1985	1986	
Heritage	1988	
Hertford St - Upper Mt. Gravatt	1948	1959	1958
Hervey Bay	1919	1951	1983
Highfields	1988	
Hills Outreach Alexandra Hills 	2003	2000	
Hispanic	
Holland Park	1928	1946	1970
Holland Park - Gateway	1928	1946	1928
Howard	1990	
Howard	1995	
Hughenden 1991	1986	
Inala	1959	1959	1959
Ingham 1994	1994	
Innisfail	1962	1963	1963
Ipswich	1859	1859	1860
Jimboomba	1994	
Jireh Particular	1861	1862	1862
Kalbar	1875	1875	1907
Kallangur	1969	1965
Karalee - merge 	1985	
Kawana	1997	
Kenmore	1966	1968	1973
Keperra	1953	1958	1964
Kingaroy	1950	1950	1952
Korean	2000	
Labrador	1956	1966	1958
Laidley	1882	1895	1952
Lakes Creek (Rockhampton)	1897	1898	1914
Lanefield (Rosewood)	1871	1887	1888
Lawnton	1966	1968	1967
Leichhardt	1979	1969
Logan City	1988	
Logan Reserve	1993	
Longreach	1994	1996	
Mackay	1958	1958	1959
Mackay Beaches	1999	
Magnetic Island	1888	1888	1967
Majestic Park	1951	1965	1960
Maleny	1913	1935	1913
Manly	1993	
Mansfield	1971	1975	1974
Marburg	1871	1905	1905
Mareeba	1993	
Margate	1936	1941	1936
Marlin Coast	1989	
Maroochydore	1939	1960	1939
Maryborough - Fort Street	1883	1884	1883
Middlemount	1985	
Millbank	1985	1986	
Minden	1879	1882	1882
Monto	1929	1938	1932
Moore Park	1957	1959	1962
Mossman Dist - from Douglas	1999	
Mount Isa	1963	1964	1966
Mount Morgan	1899	1901
Mountain Creek	1994	
Moura	1967	1968	1968
Mulgrave	1992	
Mundubbera	1978	1974
Murgon District	1919	1920	1964
Murrie Dinmore	1988	
Murrie Northside 	1993	1992	
Murrie Wynnum 	2000	1995	
Murrumba	1900	1956	1955
Nambour	1910	1912	1912?
Nanango	1929	1932	1932
Narangba	2001	2003	
Nerang	1993	
New Beith	2002	
New Farm	1994	
Noosa	1950	1955	1973
Norman Park	1931	1943	1937
North Pine	1963	1969	1983
North Redlands		1977	1979	
North Redlands - merge 1987	
North Rockhampton	1875	1919	1875
North Shore Maroochy	2001	
Nundah	1886	1888	1888
Nundah - merge 	1999	
Palm Beach	1928	1928	1928
Palm Beach divided	1985	
Palm Beach name change 	2001	
Park Avenue (Rockhampton)	1908	1959	1908
Park Ridge	1958	1970	1967
Peace Family Memorial	1968	1969	1973
Peace Int. 	2001	
Petrie Terrace	1867	1870	1869
Redbank Plains/Gailes	1985	1988	
Redland Bay	1901	1906	1906
Redlands merger	1987	
Reedy Creek from Palm Beach	2001	
Riverside 	2003	
RKLM Bay Islands 1999	1998	
Robina 	1991	1987	
Rochedale	1972	1975	1977
Rockhampton	1862	1862	1864
Rockhampton - Port Curtis Road	1862	1862	1913
Rockhampton - Wood Street	1862	1862	1932
Rockhampton Tabernacle	1862	1862	1901
Rockville	1943	1956	1949
Roma	1961	1965	1966
Romanian	1987	1991	
Rosalie	1884	1912	1884
Rosewood	1881	1887	1961
Rothwell	1989	
Runaway Bay	1986	1988	
Salisbury	1951	1956	1951
Samford	1991	
Samoan	2002	
Sandgate	1870	1887	1871
Scarborough	1958	1974	1951
Scarborough - merge 	1991	
Shailer Park 	2000	1991	1994	
Sherwood	1926	1927	1966
Sherwood 	1997	
Silkstone	1912	1921	1912
Smithfield and Dist	1991	1993	
South Brisbane	1857	1872	1874
South Toowoomba	1949	1975	1952
Southern Gold Coast - split 	1985	
Southport	1949	1951	1952
Spanish &amp; Latin American	1974	1976	?
Spanish Speaking	1971	
Stafford North	1969	1979	1969
Stanthorpe	1951	1955	1958
Sunnybank	1952	1957	1957
Tamborine Mountain	2000	
Tarampa	1869	1870	1926
Taringa	1889	1897	1891
Tarragindi	1948	1956	1956
Tent Hill	1881	1881	1951
Thangool	1932	1958	1932
The Gap	1959	1964	1959
The Grange (Newmarket - Grange)	1916	1919	1919
The Hills	1984	
The Range Mapleton	2001	
Thompson Estate	1888	1921	1888
Tieri	1986	1989	
Tin Can Bay	1996	
Toogoolawah from Brisbane Valley	2001	
Toowong	1880	1880	1881
Toowoomba - Highfields	1875	1875	1875
Toowoomba Central	1875	1875	1880
Torquay (Hervey Bay)	1919	1952	1919
Townsville Central	1888	1888	1922
Tugun	1926	1933	1923
Tugun divided	1985	
Tugun-Tweed - merger	2000	
Tully	1987	
Tully closed and opened 	2000	2000	1987	
Ukranian	1951	1952	1956?
Victoria Point	1985	1986	
Viet Nam BC	1987	
Vietnamese Church	
Vision North Coast 	2003	2002	
Wamuran	1921	1921	1921
Warrego District (Brassall)	1977	
Warwick	1911	1911	1900
Wavell Heights	1951	1960	1955
West Rockhampton	1974	1864?
Wharf Street	1855	1859
Whitsunday	1985	1989	
Windsor Road	1876	1877	1874
Wondai	1911	1912	1912
Wondai - Durong	1911	1912	1934
Wondai - Speedwell	1911	1912	1913
Woodford	1921	1947	1925
Woodridge	1965	1971	1966
Wynnum	1910	1914	1912-
Wynnum - Lindum	1910	1914	1920
Wynnum - Manly-Lota	1910	1914	1954
Wynnum- Wynnum West	1910	1914	1929
Yandina	1921	1921	1921?
